entidad_a,numeral,nombre1,cafuaftt,cafuaf1,cafuaf2,cafuaf3,cafuaf4,cafuaf5,cafuaf6,cafuaf7,cafuaf8,cafuaf9,cafuaf10,cafuaf11,cafuaf12,cafuaf13,cafuaf14,cafuaf15,cafuaf16,cafuaf17,cafuaf18
1,1,FISCALÍA ESPECIALIZADA EN DELITOS ELECTORALES,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
1,2,FISCALÍA ESPECIALIZADA EN COMBATE A LA CORRUPCIÓN,14,7,7,1,0,4,1,1,5,0,0,0,0,0,0,1,1,NA,NA
1,3,FISCALÍA ESPECIALIZADA EN MATERIA DE DESAPARICIÓN Y LOCALIZACIÓN DE PERSONAS,6,3,3,1,0,1,0,0,3,0,0,0,0,0,0,1,0,NA,NA
1,4,FISCALÍA ESPECIALIZADA EN MATERIA DE TORTURA,3,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,NA,NA
1,5,FISCALÍA ESPECIALIZADA EN MATERIA DE TRATA DE PERSONAS,2,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA
1,6,UNIDAD ESPECIALIZADA EN MECANISMOS ALTERNATIVOS DE SOLUCIÓN DE CONTROVERSIAS OFICINA CENTRAL AGUASCALIENTES,12,3,9,0,0,1,0,0,1,0,0,0,0,0,0,2,8,NA,NA
1,7,"UNIDAD ESPECIALIZADA EN MECANISMOS ALTERNATIVOS DE SOLUCIÓN DE CONTROVERSIAS OFICINA CALVILLO, EL LLANO Y PABELLÓN DE ARTEAGA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA
1,8,UNIDAD ESPECIALIZADA EN MECANISMOS ALTERNATIVOS DE SOLUCIÓN DE CONTROVERSIAS OFICINA JESÚS MARÍA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA
1,9,UNIDAD ESPECIALIZADA EN MECANISMOS ALTERNATIVOS DE SOLUCIÓN DE CONTROVERSIAS OFICINA RINCÓN DE ROMOS,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA
1,10,UNIDAD DE ATENCIÓN TEMPRANA,41,14,27,0,0,0,0,14,25,0,0,0,0,0,0,0,2,NA,NA
