entidad_a,gdoestud_c,cafuaftt,cafuaf1,cafuaf2,cafuaf3,cafuaf4,cafuaf5,cafuaf6,cafuaf7,cafuaf8,cafuaf9,cafuaf10,cafuaf11,cafuaf12,cafuaf13,cafuaf14,cafuaf15,cafuaf16,cafuaf17,cafuaf18
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
1,3,4,1,3,0,0,0,0,0,3,0,0,0,0,0,0,1,0,NA,NA
1,4,27,8,19,0,0,0,0,8,18,0,0,0,0,0,0,0,1,NA,NA
1,5,12,2,10,0,0,0,0,2,10,0,0,0,0,0,0,0,0,NA,NA
1,6,331,127,204,3,1,61,75,51,103,0,0,0,0,0,0,12,25,NA,NA
1,7,13,7,6,0,1,4,4,1,1,0,0,0,0,0,0,2,0,NA,NA
1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
1,9,,,,,,,,,,,,,,,,,,,
2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2,6,3,3,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0
2,3,47,23,24,0,0,0,0,0,0,0,0,0,0,17,1,5,20,1,3
2,4,110,60,50,0,0,0,0,0,0,0,0,0,0,28,11,17,34,15,5
2,5,98,47,51,0,0,0,0,0,0,0,0,0,0,33,1,9,48,5,2
2,6,1145,544,601,3,2,199,201,137,238,0,0,6,9,134,32,23,37,42,82
2,7,42,20,22,1,0,9,11,0,6,0,0,0,0,8,3,0,1,2,1
2,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,9,,,,,,,,,,,,,,,,,,,
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
3,3,15,11,4,0,0,0,0,0,0,0,0,0,0,0,0,11,4,NA,NA
3,4,36,15,21,0,0,0,0,0,0,0,0,0,0,10,6,5,15,NA,NA
3,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,NA,NA
3,6,494,282,212,1,0,42,57,18,44,0,0,0,0,216,50,5,61,NA,NA
3,7,18,10,8,0,0,6,5,2,3,0,0,0,0,2,0,0,0,NA,NA
3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
3,9,,,,,,,,,,,,,,,,,,,
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,11,11,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0
4,4,157,112,45,0,0,0,0,10,27,0,0,2,1,91,9,9,6,0,2
4,5,8,6,2,0,0,0,0,0,1,0,0,1,0,5,0,0,1,0,0
4,6,215,110,105,0,0,22,51,8,6,0,0,16,10,52,11,1,8,11,19
4,7,11,5,6,0,0,0,0,0,1,0,0,0,2,0,1,0,0,5,2
4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,9,,,,,,,,,,,,,,,,,,,
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,3,111,88,23,0,0,0,0,0,0,0,0,0,0,82,15,6,8,0,0
5,4,313,210,103,0,0,0,0,0,0,0,0,0,0,144,31,65,72,1,0
5,5,162,67,95,0,0,0,0,0,0,0,0,0,0,47,0,20,95,0,0
5,6,648,308,340,0,0,137,209,0,0,0,0,92,54,35,22,42,55,2,0
5,7,75,32,43,0,0,22,35,0,0,0,0,3,2,0,0,6,6,1,0
5,8,5,1,4,0,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0
5,9,,,,,,,,,,,,,,,,,,,
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
6,2,3,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,NA,NA
