entidad_a,gdoestud_c,sexostt,sexos1,sexos2
1,1,1,1,0
1,2,5,5,0
1,3,45,37,8
1,4,287,175,112
1,5,47,28,19
1,6,637,322,315
1,7,30,19,11
1,8,4,2,2
1,9,,,
2,1,8,7,1
2,2,27,19,8
2,3,145,100,45
2,4,880,733,147
2,5,223,106,117
2,6,3082,1734,1348
2,7,75,37,38
2,8,4,4,0
2,9,,,
3,1,0,0,0
3,2,5,3,2
3,3,50,37,13
3,4,195,95,100
3,5,20,5,15
3,6,840,427,413
3,7,88,66,22
3,8,3,3,0
3,9,,,
4,1,0,0,0
4,2,8,5,3
4,3,58,42,16
4,4,279,192,87
4,5,18,9,9
4,6,414,194,220
4,7,26,11,15
4,8,1,1,0
4,9,,,
5,1,0,0,0
5,2,6,4,2
5,3,170,111,59
5,4,890,626,264
5,5,162,67,95
5,6,915,445,470
5,7,75,32,43
5,8,5,1,4
5,9,,,
6,1,0,0,0
6,2,10,10,0
6,3,160,141,19
6,4,199,147,52
6,5,73,18,55
6,6,708,310,398
6,7,0,0,0
6,8,16,11,5
6,9,,,
7,1,0,0,0
7,2,28,18,10
7,3,213,174,39
7,4,840,586,254
7,5,0,0,0
7,6,2546,1372,1174
7,7,135,73,62
7,8,20,14,6
7,9,,,
8,1,0,0,0
8,2,12,5,7
8,3,74,42,32
8,4,263,113,150
8,5,8,3,5
8,6,3463,1871,1592
8,7,521,230,291
8,8,10,5,5
8,9,,,
9,1,613,372,241
9,2,126,86,40
9,3,645,437,208
9,4,1767,1327,440
9,5,1403,581,822
9,6,11748,6360,5388
9,7,462,237,225
9,8,3,2,1
9,9,,,
10,1,26,16,10
10,2,22,13,9
10,3,141,112,29
10,4,322,219,103
10,5,71,10,61
10,6,524,263,261
10,7,65,33,32
10,8,0,0,0
10,9,,,
11,1,80,40,40
11,2,24,15,9
11,3,202,139,63
11,4,684,436,248
11,5,354,197,157
11,6,3265,1561,1704
11,7,272,143,129
11,8,12,7,5
11,9,,,
12,1,0,0,0
12,2,9,4,5
12,3,114,83,31
12,4,851,630,221
12,5,153,45,108
12,6,1564,721,843
12,7,82,37,45
12,8,2,1,1
12,9,,,
13,1,0,0,0
13,2,22,12,10
13,3,145,106,39
13,4,479,348,131
13,5,97,33,64
13,6,1470,679,791
13,7,61,29,32
13,8,6,4,2
13,9,,,
14,1,3,2,1
14,2,21,6,15
14,3,99,61,38
14,4,683,453,230
14,5,36,9,27
14,6,3353,1797,1556
14,7,197,96,101
14,8,6,3,3
14,9,,,
15,1,0,0,0
15,2,27,26,1
15,3,218,177,41
15,4,1479,1197,282
15,5,414,174,240
15,6,4592,2499,2093
15,7,105,58,47
15,8,6,5,1
15,9,,,
16,1,0,0,0
16,2,51,32,19
16,3,181,122,59
16,4,651,528,123
16,5,0,0,0
16,6,1896,984,912
16,7,63,37,26
16,8,4,2,2
16,9,,,
17,1,0,0,0
17,2,7,3,4
17,3,97,42,55
17,4,438,239,199
17,5,100,42,58
17,6,828,353,475
17,7,106,45,61
17,8,12,6,6
17,9,,,
18,1,0,0,0
18,2,20,7,13
18,3,157,116,41
18,4,385,300,85
18,5,135,55,80
18,6,758,390,368
18,7,9,5,4
18,8,0,0,0
18,9,,,
19,1,0,0,0
19,2,6,1,5
19,3,56,45,11
19,4,112,84,28
19,5,102,44,58
19,6,2763,1601,1162
19,7,477,244,233
19,8,24,18,6
19,9,,,
20,1,0,0,0
20,2,17,9,8
20,3,195,153,42
20,4,1034,794,240
20,5,79,34,45
20,6,1293,651,642
20,7,103,46,57
20,8,3,2,1
20,9,,,
21,1,0,0,0
21,2,31,19,12
21,3,80,48,32
21,4,177,87,90
21,5,150,64,86
21,6,2650,1375,1275
21,7,99,47,52
21,8,8,6,2
21,9,,,
22,1,0,0,0
22,2,5,4,1
22,3,44,33,11
22,4,190,92,98
22,5,410,326,84
22,6,760,312,448
22,7,53,18,35
22,8,1,1,0
22,9,,,
23,1,0,0,0
23,2,17,7,10
23,3,138,98,40
23,4,603,395,208
23,5,26,11,15
23,6,995,496,499
23,7,61,27,34
23,8,0,0,0
23,9,,,
24,1,0,0,0
24,2,17,6,11
24,3,114,71,43
24,4,704,506,198
24,5,170,30,140
24,6,921,491,430
24,7,41,33,8
24,8,1,1,0
24,9,,,
25,1,0,0,0
25,2,24,9,15
25,3,132,84,48
25,4,316,217,99
25,5,21,7,14
25,6,1419,775,644
25,7,56,26,30
25,8,2,1,1
25,9,,,
26,1,0,0,0
26,2,5,2,3
26,3,17,6,11
26,4,91,53,38
26,5,620,258,362
26,6,1774,1116,658
26,7,32,16,16
26,8,1,0,1
26,9,,,
27,1,0,0,0
27,2,24,18,6
27,3,130,90,40
27,4,488,452,36
27,5,65,45,20
27,6,1085,615,470
27,7,458,180,278
27,8,298,118,180
27,9,,,
28,1,15,10,5
28,2,18,13,5
28,3,106,50,56
28,4,413,237,176
28,5,137,30,107
28,6,2339,1293,1046
28,7,92,47,45
28,8,2,2,0
28,9,,,
29,1,1,1,0
29,2,9,4,5
29,3,36,15,21
29,4,159,103,56
29,5,39,4,35
29,6,386,188,198
29,7,23,15,8
29,8,2,2,0
29,9,,,
30,1,24,14,10
30,2,53,41,12
30,3,250,170,80
30,4,1085,715,370
30,5,26,14,12
30,6,1535,690,845
30,7,161,79,82
30,8,16,9,7
30,9,,,
31,1,11,6,5
31,2,19,9,10
31,3,63,43,20
31,4,70,46,24
31,5,95,53,42
31,6,839,380,459
31,7,14,7,7
31,8,0,0,0
31,9,,,
32,1,0,0,0
32,2,29,19,10
32,3,133,101,32
32,4,339,271,68
32,5,43,19,24
32,6,1066,420,646
32,7,112,41,71
32,8,4,2,2
32,9,,,
