entidad_a,bienjuri_b,tipdelit_c,ingrestt,ingres1,ingres2,ingress1,ingres3,ingres4,ingress2,ingres6,ingres7
1,1,10100,89,87,2,85,83,2,4,4,0
1,1,10200,11,11,0,11,11,0,0,0,0
1,1,10300,0,0,0,0,0,0,0,0,0
1,1,10400,198,181,17,189,172,17,9,9,0
1,1,10500,1,1,0,1,1,0,0,0,0
1,2,20100,57,53,4,53,49,4,4,4,0
1,2,20200,0,0,0,0,0,0,0,0,0
1,2,20300,4,3,1,4,3,1,0,0,0
1,2,20400,0,0,0,0,0,0,0,0,0
1,2,20500,0,0,0,0,0,0,0,0,0
1,2,20600,14,13,1,14,13,1,0,0,0
1,2,20601,4,4,0,4,4,0,0,0,0
1,2,20602,2,2,0,2,2,0,0,0,0
1,2,20603,1,1,0,1,1,0,0,0,0
1,2,20604,7,6,1,7,6,1,0,0,0
1,2,20605,0,0,0,0,0,0,0,0,0
1,2,20606,0,0,0,0,0,0,0,0,0
1,2,20699,,,,,,,,,
1,2,20700,0,0,0,0,0,0,0,0,0
1,3,30100,5,5,0,3,3,0,2,2,0
1,3,30200,0,0,0,0,0,0,0,0,0
1,3,30300,7,7,0,7,7,0,0,0,0
1,3,30400,105,103,2,72,70,2,33,33,0
1,3,30401,31,31,0,21,21,0,10,10,0
1,3,30402,52,52,0,33,33,0,19,19,0
1,3,30403,22,20,2,18,16,2,4,4,0
1,3,30404,0,0,0,0,0,0,0,0,0
1,3,30405,0,0,0,0,0,0,0,0,0
1,3,30499,,,,,,,,,
1,3,30500,2,2,0,2,2,0,0,0,0
1,3,30600,0,0,0,0,0,0,0,0,0
1,3,30700,8,7,1,8,7,1,0,0,0
1,4,40100,1132,1019,113,670,577,93,462,442,20
1,4,40101,303,196,107,172,85,87,131,111,20
1,4,40102,352,352,0,244,244,0,108,108,0
1,4,40103,198,198,0,93,93,0,105,105,0
1,4,40104,52,52,0,46,46,0,6,6,0
1,4,40105,118,118,0,22,22,0,96,96,0
1,4,40106,2,2,0,1,1,0,1,1,0
1,4,40107,0,0,0,0,0,0,0,0,0
1,4,40108,11,11,0,9,9,0,2,2,0
1,4,40109,5,5,0,4,4,0,1,1,0
1,4,40110,0,0,0,0,0,0,0,0,0
1,4,40111,0,0,0,0,0,0,0,0,0
1,4,40112,5,5,0,5,5,0,0,0,0
1,4,40113,47,41,6,40,34,6,7,7,0
