entidad_a,bienjuri_b,tipdelit_c,ingrestt,ingres1,ingres2,ingress1,ingres3,ingres4,ingress2,ingres6,ingres7
1,1,10100,0,0,0,0,0,0,0,0,0
1,1,10200,0,0,0,0,0,0,0,0,0
1,1,10300,0,0,0,0,0,0,0,0,0
1,1,10400,0,0,0,0,0,0,0,0,0
1,1,10500,0,0,0,0,0,0,0,0,0
1,2,20100,0,0,0,0,0,0,0,0,0
1,2,20200,0,0,0,0,0,0,0,0,0
1,2,20300,0,0,0,0,0,0,0,0,0
1,2,20400,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,20500,0,0,0,0,0,0,0,0,0
1,2,20600,0,0,0,0,0,0,0,0,0
1,2,20601,0,0,0,0,0,0,0,0,0
1,2,20602,0,0,0,0,0,0,0,0,0
1,2,20603,0,0,0,0,0,0,0,0,0
1,2,20604,0,0,0,0,0,0,0,0,0
1,2,20605,0,0,0,0,0,0,0,0,0
1,2,20606,0,0,0,0,0,0,0,0,0
1,2,20699,,,,,,,,,
1,2,20700,0,0,0,0,0,0,0,0,0
1,3,30100,0,0,0,0,0,0,0,0,0
1,3,30200,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,30300,0,0,0,0,0,0,0,0,0
1,3,30400,0,0,0,0,0,0,0,0,0
1,3,30401,0,0,0,0,0,0,0,0,0
1,3,30402,0,0,0,0,0,0,0,0,0
1,3,30403,0,0,0,0,0,0,0,0,0
1,3,30404,0,0,0,0,0,0,0,0,0
1,3,30405,0,0,0,0,0,0,0,0,0
1,3,30499,,,,,,,,,
1,3,30500,0,0,0,0,0,0,0,0,0
1,3,30600,0,0,0,0,0,0,0,0,0
1,3,30700,0,0,0,0,0,0,0,0,0
1,4,40100,0,0,0,0,0,0,0,0,0
1,4,40101,0,0,0,0,0,0,0,0,0
1,4,40102,0,0,0,0,0,0,0,0,0
1,4,40103,0,0,0,0,0,0,0,0,0
1,4,40104,0,0,0,0,0,0,0,0,0
1,4,40105,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,40106,NA,NA,NA,NA,NA,NA,NA,NA,NA
