"","entidad","tipo_delito","total_delitos","total_delito_fuero_comun","total_delito_fuero_federal"
"1","Nacional","Total",133043,118851,14192
"2","Nacional","10100",9730,9685,45
"3","Nacional","10200",922,883,39
"4","Nacional","10300",17,15,2
"5","Nacional","10400",5983,5956,27
"6","Nacional","10500",544,543,1
"7","Nacional","20100",1115,1050,65
"8","Nacional","20200",17,17,0
"9","Nacional","20300",105,105,0
"10","Nacional","20400",12,12,0
"11","Nacional","20500",352,351,1
"12","Nacional","20600",4718,4541,177
"13","Nacional","20700",67,67,0
"14","Nacional","30100",2680,2680,0
"15","Nacional","30200",53,53,0
"16","Nacional","30300",19,19,0
"17","Nacional","30400",6440,6440,0
"18","Nacional","30500",49,49,0
"19","Nacional","30600",0,0,0
"20","Nacional","30700",543,543,0
"21","Nacional","40100",43229,42468,761
"22","Nacional","40200",259,2,257
"23","Nacional","40300",845,837,8
"24","Nacional","40400",223,223,0
"25","Nacional","40500",1563,1537,26
"26","Nacional","40600",1897,1882,15
"27","Nacional","40700",420,420,0
"28","Nacional","40800",226,213,13
"29","Nacional","50100",7564,7438,126
"30","Nacional","50200",1083,1083,0
"31","Nacional","50300",151,151,0
"32","Nacional","60100",1117,1073,44
"33","Nacional","60200",180,157,23
"34","Nacional","60300",107,107,0
"35","Nacional","60400",6,6,0
"36","Nacional","60500",9,9,0
"37","Nacional","60600",63,62,1
"38","Nacional","70100",20544,19666,878
"39","Nacional","70200",5753,62,5691
"40","Nacional","70300",22,21,1
"41","Nacional","70400",1430,1401,29
"42","Nacional","70500",180,42,138
"43","Nacional","70600",5937,779,5158
"44","Nacional","70700",359,304,55
"45","Nacional","70800",23,23,0
"46","Nacional","70900",355,348,7
"47","Nacional","80100",1914,1787,127
"48","Nacional","80200",66,64,2
"49","Nacional","80300",34,5,29
"50","Nacional","80400",24,1,23
"51","Nacional","80500",313,312,1
"52","Nacional","90100",594,592,2
"53","Nacional","90200",970,968,2
"54","Nacional","90300",119,102,17
"55","Nacional","90400",162,126,36
"56","Nacional","90500",67,40,27
"57","Nacional","90600",122,104,18
"58","Nacional","90700",105,1,104
"59","Nacional","90800",1,0,1
"60","Nacional","90900",14,2,12
"61","Nacional","91000",1,0,1
"62","Nacional","91100",88,3,85
"63","Nacional","91200",344,340,4
"64","Nacional","91300",76,62,14
"65","Nacional","91400",14,12,2
"66","Nacional","91500",52,48,4
"67","Nacional","91600",35,7,28
"68","Nacional","91700",13,13,0
"69","Nacional","91800",928,869,59
"70","Nacional","100100",65,59,6
"71","Nacional","999999",11,11,0
"72","Aguascalientes","Total",2902,2676,226
"73","Aguascalientes","10100",89,89,0
"74","Aguascalientes","10200",11,11,0
"75","Aguascalientes","10300",0,0,0
"76","Aguascalientes","10400",198,198,0
"77","Aguascalientes","10500",1,1,0
"78","Aguascalientes","20100",57,57,0
"79","Aguascalientes","20200",0,0,0
"80","Aguascalientes","20300",4,4,0
"81","Aguascalientes","20400",0,0,0
"82","Aguascalientes","20500",0,0,0
"83","Aguascalientes","20600",14,14,0
"84","Aguascalientes","20700",0,0,0
"85","Aguascalientes","30100",5,5,0
"86","Aguascalientes","30200",0,0,0
"87","Aguascalientes","30300",7,7,0
"88","Aguascalientes","30400",105,105,0
"89","Aguascalientes","30500",2,2,0
"90","Aguascalientes","30600",0,0,0
"91","Aguascalientes","30700",8,8,0
"92","Aguascalientes","40100",1132,1132,0
"93","Aguascalientes","40200",1,0,1
"94","Aguascalientes","40300",20,20,0
"95","Aguascalientes","40400",15,15,0
"96","Aguascalientes","40500",8,8,0
"97","Aguascalientes","40600",73,73,0
"98","Aguascalientes","40700",5,5,0
"99","Aguascalientes","40800",0,0,0
"100","Aguascalientes","50100",105,105,0
"101","Aguascalientes","50200",14,14,0
"102","Aguascalientes","50300",0,0,0
"103","Aguascalientes","60100",26,26,0
"104","Aguascalientes","60200",2,2,0
"105","Aguascalientes","60300",0,0,0
"106","Aguascalientes","60400",0,0,0
"107","Aguascalientes","60500",0,0,0
"108","Aguascalientes","60600",0,0,0
"109","Aguascalientes","70100",681,641,40
"110","Aguascalientes","70200",115,0,115
"111","Aguascalientes","70300",0,0,0
"112","Aguascalientes","70400",0,0,0
"113","Aguascalientes","70500",0,0,0
"114","Aguascalientes","70600",70,0,70
"115","Aguascalientes","70700",0,0,0
"116","Aguascalientes","70800",0,0,0
"117","Aguascalientes","70900",0,0,0
"118","Aguascalientes","80100",6,6,0
"119","Aguascalientes","80200",0,0,0
"120","Aguascalientes","80300",1,1,0
"121","Aguascalientes","80400",0,0,0
"122","Aguascalientes","80500",0,0,0
"123","Aguascalientes","90100",88,88,0
"124","Aguascalientes","90200",21,21,0
"125","Aguascalientes","90300",2,2,0
"126","Aguascalientes","90400",2,2,0
"127","Aguascalientes","90500",3,3,0
"128","Aguascalientes","90600",0,0,0
"129","Aguascalientes","90700",0,0,0
"130","Aguascalientes","90800",0,0,0
"131","Aguascalientes","90900",0,0,0
"132","Aguascalientes","91000",0,0,0
"133","Aguascalientes","91100",0,0,0
